year;medication;amount;total;proportion
2011;QJ01A;0,74;9,97;0,074222668
2011;QJ01C;7,67;9,97;0,769307924
2011;QJ01D;0,25;9,97;0,025075226
2011;QJ01E;0,18;9,97;0,018054162
2011;QJ01F;0,01;9,97;0,001003009
2011;QJ01M;1,06;9,97;0,106318957
2011;QJ01B;0,03;9,97;0,003009027
2012;QJ01A;0,7;9,09;0,077007701
2012;QJ01C;7,19;9,09;0,790979098
2012;QJ01D;0,1;9,09;0,0110011
2012;QJ01E;0,2;9,09;0,0220022
2012;QJ01F;0;9,09;0
2012;QJ01M;0,84;9,09;0,092409241
2012;QJ01B;0,03;9,09;0,00330033
2013;QJ01A;0,76;9,59;0,079249218
2013;QJ01C;7,94;9,59;0,827945777
2013;QJ01D;0,02;9,59;0,002085506
2013;QJ01E;0,5;9,59;0,052137643
2013;QJ01F;0;9,59;0
2013;QJ01M;0,3;9,59;0,031282586
2013;QJ01B;0,03;9,59;0,003128259
2014;QJ01A;0,69;9,14;0,075492341
2014;QJ01C;7,56;9,14;0,827133479
2014;QJ01D;0,01;9,14;0,001094092
2014;QJ01E;0,63;9,14;0,06892779
2014;QJ01F;0;9,14;0
2014;QJ01M;0,22;9,14;0,024070022
2014;QJ01B;0;9,14;0
2015;QJ01A;0,53;7,58;0,069920844
2015;QJ01C;6,36;7,58;0,839050132
2015;QJ01D;0,01;7,58;0,001319261
2015;QJ01E;0,52;7,58;0,068601583
2015;QJ01F;0;7,58;0
2015;QJ01M;0,14;7,58;0,018469657
2015;QJ01B;0;7,58;0
2016;QJ01A;0,29;6,25;0,0464
2016;QJ01C;5,45;6,25;0,872
2016;QJ01D;0;6,25;0
2016;QJ01E;0,4;6,25;0,064
2016;QJ01F;0;6,25;0
2016;QJ01M;0,09;6,25;0,0144
2016;QJ01B;0,005;7,05;0,00070922
2017;QJ01A;0,51;7,05;0,072340426
2017;QJ01C;5,99;7,05;0,84964539
2017;QJ01D;0;7,05;0
2017;QJ01E;0,46;7,05;0,065248227
2017;QJ01F;0,01;7,05;0,00141844
2017;QJ01M;0,07;7,05;0,009929078
2017;QJ01B;0,01;7,05;0,00141844
2018;QJ01A;0,56;7,48;0,07486631
2018;QJ01C;6,4;7,48;0,855614973
2018;QJ01D;0;7,48;0
2018;QJ01E;0,43;7,48;0,057486631
2018;QJ01F;0,01;7,48;0,001336898
2018;QJ01M;0,07;7,48;0,009358289
2018;QJ01B;0,005;7,48;0,000668449
2019;QJ01A;0,42;7,09;0,059238364
2019;QJ01C;6,19;7,09;0,873060649
2019;QJ01D;0;7,09;0
2019;QJ01E;0,39;7,09;0,055007052
2019;QJ01F;0,01;7,09;0,001410437
2019;QJ01M;0,06;7,09;0,008462623
2019;QJ01B;0,01;7,09;0,001410437
2020;QJ01A;0,5;7,93;0,063051702
2020;QJ01C;6,96;7,93;0,877679697
2020;QJ01D;0;7,93;0
2020;QJ01E;0,36;7,93;0,045397226
2020;QJ01F;0,01;7,93;0,001261034
2020;QJ01M;0,07;7,93;0,008827238
2020;QJ01B;0,015;7,93;0,001891551
2021;QJ01A;0,39;6,41;0,060842434
2021;QJ01C;5,78;6,41;0,901716069
2021;QJ01D;0;6,41;0
2021;QJ01E;0,16;6,41;0,024960998
2021;QJ01F;0;6,41;0
2021;QJ01M;0,06;6,41;0,009360374
2021;QJ01B;0;6,41;0
